locus_tag	kegg_pathway_id	kegg_pathway	organism
H16_A0332	reh00010	Glycolysis / Gluconeogenesis	Cupriavidus necator ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337 Ralstonia eutropha
H16_A0493	reh00010	Glycolysis / Gluconeogenesis	Cupriavidus necator ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337 Ralstonia eutropha
H16_A0566	reh00010	Glycolysis / Gluconeogenesis	Cupriavidus necator ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337 Ralstonia eutropha
H16_A0567	reh00010	Glycolysis / Gluconeogenesis	Cupriavidus necator ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337 Ralstonia eutropha
H16_A0568	reh00010	Glycolysis / Gluconeogenesis	Cupriavidus necator ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337 Ralstonia eutropha
H16_A0666	reh00010	Glycolysis / Gluconeogenesis	Cupriavidus necator ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337 Ralstonia eutropha
H16_A0745	reh00010	Glycolysis / Gluconeogenesis	Cupriavidus necator ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337 Ralstonia eutropha
H16_A0861	reh00010	Glycolysis / Gluconeogenesis	Cupriavidus necator ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337 Ralstonia eutropha
H16_A0999	reh00010	Glycolysis / Gluconeogenesis	Cupriavidus necator ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337 Ralstonia eutropha
H16_A1047	reh00010	Glycolysis / Gluconeogenesis	Cupriavidus necator ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337 Ralstonia eutropha
H16_A1188	reh00010	Glycolysis / Gluconeogenesis	Cupriavidus necator ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337 Ralstonia eutropha
H16_A1197	reh00010	Glycolysis / Gluconeogenesis	Cupriavidus necator ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337 Ralstonia eutropha
H16_A1374	reh00010	Glycolysis / Gluconeogenesis	Cupriavidus necator ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337 Ralstonia eutropha
H16_A1375	reh00010	Glycolysis / Gluconeogenesis	Cupriavidus necator ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337 Ralstonia eutropha
H16_A1377	reh00010	Glycolysis / Gluconeogenesis	Cupriavidus necator ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337 Ralstonia eutropha
H16_A1502	reh00010	Glycolysis / Gluconeogenesis	Cupriavidus necator ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337 Ralstonia eutropha
H16_A1616	reh00010	Glycolysis / Gluconeogenesis	Cupriavidus necator ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337 Ralstonia eutropha
H16_A1753	reh00010	Glycolysis / Gluconeogenesis	Cupriavidus necator ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337 Ralstonia eutropha
H16_A1847	reh00010	Glycolysis / Gluconeogenesis	Cupriavidus necator ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337 Ralstonia eutropha
H16_A1919	reh00010	Glycolysis / Gluconeogenesis	Cupriavidus necator ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337 Ralstonia eutropha
H16_A2038	reh00010	Glycolysis / Gluconeogenesis	Cupriavidus necator ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337 Ralstonia eutropha
H16_A2323	reh00010	Glycolysis / Gluconeogenesis	Cupriavidus necator ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337 Ralstonia eutropha
H16_A2525	reh00010	Glycolysis / Gluconeogenesis	Cupriavidus necator ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337 Ralstonia eutropha
H16_A2863	reh00010	Glycolysis / Gluconeogenesis	Cupriavidus necator ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337 Ralstonia eutropha
H16_A2885	reh00010	Glycolysis / Gluconeogenesis	Cupriavidus necator ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337 Ralstonia eutropha
H16_A3146	reh00010	Glycolysis / Gluconeogenesis	Cupriavidus necator ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337 Ralstonia eutropha
